,0
0,1.1829424
1,1.3652346
2,27.715605
3,8.248961
4,201.35754
5,108.89398
6,2.0249946
7,1.8665593
8,1.4190949
9,1.546001
10,25.772917
11,3.3255985
12,14.55674
13,0.94804156
14,72.31279
15,1.6603788
16,1.167107
17,1.3504624
18,11.970467
19,35.692104
20,7.9476275
21,2.077634
22,11.804293
23,6.0951357
24,4.291161
25,1.1632574
26,63.259953
27,14.281479
28,1.8920307
29,9.951525
30,1.217104
31,1.5803504
32,99.744576
33,7.656079
34,300.246
35,1.5157316
36,1.3676889
37,10.587388
38,1.1204803
39,0.9574997
40,1.3370901
41,6.897083
42,63.48016
43,3.053252
44,1.1199512
45,267.43222
46,3.5142612
47,233.33556
48,1.155401
49,1.338412
50,17.603544
51,166.02513
52,0.8998924
53,3.7662303
54,13.855657
55,1.1298349
56,16.742537
57,2.8109467
58,77.07517
59,2.5509534
60,186.86644
61,2.2390165
62,7.3237453
63,1.3337764
64,0.93595177
65,20.65314
66,13.823512
67,50.035587
68,22.816845
69,1.0082587
70,27.317076
71,4.720161
72,43.573345
73,19.252619
74,19.30282
75,72.29605
76,1.3798378
77,252.77124
78,1.740401
79,1.3930038
80,1.7523986
81,15.088502
82,54.195282
83,2.5296733
84,196.53479
85,1.4376237
86,3.3943343
87,11.307911
88,0.71776515
89,50.220768
90,40.020363
91,1.2661614
92,5.653149
93,148.4818
94,1.6452899
95,14.742217
96,4.753752
97,20.048489
98,31.140858
99,7.8201914
100,48.508522
101,12.778546
102,2.1027331
103,3.2002666
104,7.6261415
105,0.93263453
106,12.166207
107,6.082442
108,263.90414
109,14.615639
110,47.89961
111,2.3405323
112,61.53212
113,5.154428
114,17.584883
115,17.674885
116,1.7086569
117,33.4845
118,33.018394
119,124.43767
120,3.2299945
121,3.462477
122,18.921791
123,1.4857314
124,1.0426509
125,12.347462
126,4.457303
127,15.029033
128,2.4164276
129,1.2921984
130,4.4788156
131,233.82175
132,1.018436
133,1.1659955
134,3.5933523
135,1.7085536
136,8.57631
137,1.2429626
138,3.6241918
139,1.4932162
140,119.57946
141,14.931516
142,18.357895
143,4.628803
144,337.31964
145,12.537331
146,64.011314
147,1.0528605
148,5.543715
149,16.63604
150,30.763922
151,2.6980515
152,8.527961
153,41.16682
154,2.5071752
155,2.0635378
156,14.057923
157,2.432505
158,21.443935
159,1.4847999
160,302.83417
161,13.3885145
162,1.3232466
163,1.0528605
164,219.24199
165,15.762156
166,2.3264825
167,2.13633
168,3.2388906
169,5.387973
170,19.50403
171,8.740138
172,10.801264
173,1.690672
174,3.1707366
175,2.0200896
176,1.2660816
177,1.7159452
178,2.049767
179,156.59555
180,14.853128
181,6.7665415
182,53.65544
183,11.276294
184,16.418724
185,1.3145446
186,0.34156343
187,181.08992
188,11.822354
189,7.925374
190,16.63604
191,0.023896486
192,63.185047
193,36.0475
194,10.801264
195,117.31432
196,3.8888092
197,1.0633501
198,42.302967
199,1.0956911
200,23.936022
201,18.92465
202,5.147258
203,10.929914
204,96.12559
205,1.1585219
206,1.1575867
207,836.4547
208,39.390095
209,17.465223
210,1.5115833
211,12.257925
212,2.686598
213,2.130387
214,1.1146679
215,2.1083624
216,15.992643
217,1.6545378
218,3.5727274
219,1.1120238
220,0.96427816
221,11.970467
222,2.0422711
223,50.220768
224,65.79547
225,21.883858
226,25.988733
227,43.422726
228,2.8989289
229,37.105923
230,2.1140077
231,11.353658
232,10.029666
233,1.5401481
234,0.86155635
235,413.94778
236,94.13965
237,1.2392908
238,9.895015
239,1.9438443
240,8.223925
241,1.3870728
242,3.2887843
243,0.9258157
244,16.774994
245,6.947519
246,1.1186831
247,21.400993
248,31.885761
249,14.539907
250,1.4187434
251,1.8229698
252,2.3211827
253,1.8900367
254,39.02377
255,7.8996816
256,19.224983
257,1.3973225
258,45.017788
259,1.6848445
260,4.9522467
261,3.3671467
262,18.528177
263,230.39412
264,3.572828
265,1.6896733
266,173.58832
267,17.173641
268,1.2637049
269,1.399029
270,1.4728127
271,218.23332
272,1.2797766
273,3.6688821
274,2.9900155
275,12.361158
276,2.8119898
277,1.4712664
278,7.026885
279,142.5106
280,4.125522
281,1.1804671
282,1.2890908
283,1.9660976
284,1.1128138
285,3.0626454
286,1.130877
287,28.496506
288,1.9663029
289,1.9864016
290,10.637018
291,34.372112
292,207.22412
293,1.1744932
294,0.02294624
295,1.1416994
296,1.0875422
297,2.4257982
298,8.451592
299,79.47215
300,33.522068
301,3.603346
302,0.9685234
303,188.59413
304,227.63689
305,1.1508938
306,12.294425
307,4.738569
308,1.5226765
309,1.7801869
310,12.20714
311,311.0776
312,1.8788466
313,24.655832
314,13.114383
315,1.3752228
316,1.8918173
317,17.111498
318,1.2813896
319,1.4636974
320,1.2855326
321,3.7690737
322,66.59058
323,1.9915862
324,56.08653
325,368.3378
326,6.0692253
327,1.5850502
328,200.7149
329,1.2744654
330,1.4108111
331,14.160307
332,1.1028751
333,205.62607
334,14.931516
335,2.1888409
336,6.316302
337,1.2675877
338,18.755531
339,5.2258654
340,15.762156
341,192.9494
342,291.19168
343,6.386905
344,0.82591283
345,6.2798076
346,2.0028787
347,1.1941823
348,188.75726
349,0.8825905
350,103.934395
351,22.512623
352,0.94622004
353,2.2002082
354,10.970059
355,76.950806
356,230.6275
357,1.103984
358,1.50632
359,62.75074
360,48.399746
361,1.6171703
362,5.4319105
363,146.05278
364,23.50481
365,22.92731
366,1.2245559
367,4.680467
368,258.9248
369,1.453365
370,1.281448
371,47.81796
372,1.2710758
373,15.885259
374,4.117605
375,38.885227
376,2.1021059
377,2.2713387
378,24.179749
379,143.06204
380,2.6729572
381,2.8024085
382,1.8472593
383,27.400988
384,1.0799278
385,14.55223
386,21.2087
387,5.094852
388,1.307948
389,6.3922024
390,0.0904967
391,188.86642
392,2.064735
393,114.910675
394,459.89166
395,1.2720665
396,7.1661744
397,4.133634
398,1.2151474
399,9.080044
400,1.6642172
401,15.673509
402,189.08844
403,13.5268955
404,58.744236
405,3.5107553
406,1.1937892
407,142.74606
408,3.0078516
409,21.658606
410,2.166749
411,1.3432093
412,25.34756
413,0.0
414,1.1799563
415,7.0938544
416,26.60788
417,1.1747763
418,2.083492
419,4.388671
420,22.728561
421,1.8567835
422,2.7864945
423,7.587579
424,1.50632
425,1.0970694
426,4.7650647
427,71.48369
428,11.073413
429,1.5056069
430,85.76005
431,14.958477
432,1.1506935
433,3.0883064
434,72.10626
435,12.42999
436,6.65263
437,8.234499
438,16.855345
439,1.0782703
440,137.14952
441,5.1023784
442,128.87527
443,4.341962
444,11.766252
445,2.7157476
446,1.7459297
447,1.1565577
448,2.9997652
449,1.4506192
450,1.0807083
451,15.689089
452,2.0562625
453,11.37468
454,7.1227155
455,1.3670992
456,1.2658477
457,1.5523096
458,1.204907
459,1.1199512
460,9.81383
461,11.680924
462,0.98239785
463,45.562046
464,4.2428737
465,6.6293125
466,8.62913
467,159.95067
468,1.626709
